customerID,lifespan_months,Customer_Segmentation,sum_quantity_bought,revenue,Customer_Monetary_Section,Average_Monthly_order,Average_Invoice_Order,count_customer_transactions,Customer_Frequency,country
15146,4,short term customer,632,736.14,standard customer,184.04,368.07,2,occasional buyer,United Kingdom
13263,11,loyal customer,2906,4844.29,VIP customer,440.39,138.41,35,frequent buyer,United Kingdom
12610,3,short term customer,589,1482.14,VIP customer,494.05,296.43,5,occasional buyer,Italy
16479,0,short term customer,85,253.88,standard customer,NULL,126.94,2,occasional buyer,United Kingdom
17716,8,loyal customer,1567,3070.62,VIP customer,383.83,279.15,11,frequent buyer,United Kingdom
14622,0,short term customer,114,229.58,standard customer,NULL,229.58,1,one time buyer,United Kingdom
13266,8,loyal customer,3392,3213.97,VIP customer,401.75,267.83,12,frequent buyer,United Kingdom
12794,1,short term customer,516,748.21,standard customer,748.21,374.11,2,occasional buyer,Portugal
12665,0,short term customer,37,63,standard customer,NULL,63,1,one time buyer,Germany
15457,0,short term customer,52,106.8,standard customer,NULL,106.8,1,one time buyer,United Kingdom
17340,11,loyal customer,4199,9061.98,VIP customer,823.82,823.82,11,frequent buyer,United Kingdom
13801,0,short term customer,124,245,standard customer,NULL,245,1,one time buyer,United Kingdom
17358,2,short term customer,143,286.22,standard customer,143.11,143.11,2,occasional buyer,United Kingdom
12621,12,loyal customer,5356,10459.69,high value customer,871.64,522.98,20,frequent buyer,Germany
18282,4,short term customer,102,165.3,standard customer,41.33,82.65,2,occasional buyer,United Kingdom
16168,11,loyal customer,1663,3288.15,VIP customer,298.92,121.78,27,frequent buyer,United Kingdom
15739,0,short term customer,468,425.32,standard customer,NULL,425.32,1,one time buyer,United Kingdom
14039,0,short term customer,62,102.7,standard customer,NULL,102.7,1,one time buyer,United Kingdom
18191,0,short term customer,132,141.8,standard customer,NULL,141.8,1,one time buyer,United Kingdom
16535,0,short term customer,253,417.42,standard customer,NULL,417.42,1,one time buyer,United Kingdom
13447,0,short term customer,381,829.44,standard customer,NULL,276.48,3,occasional buyer,United Kingdom
13951,4,short term customer,351,437.45,standard customer,109.36,145.82,3,occasional buyer,United Kingdom
17085,8,loyal customer,565,1102.87,VIP customer,137.86,220.57,5,occasional buyer,United Kingdom
12545,6,short term customer,256,606.94,standard customer,101.16,303.47,2,occasional buyer,Spain
14752,0,short term customer,260,389.64,standard customer,NULL,389.64,1,one time buyer,United Kingdom
16880,5,short term customer,584,1140.88,VIP customer,228.18,162.98,7,frequent buyer,United Kingdom
15938,7,loyal customer,204,359.58,standard customer,51.37,71.92,5,occasional buyer,United Kingdom
14719,8,loyal customer,592,967.09,standard customer,120.89,193.42,5,occasional buyer,United Kingdom
16116,0,short term customer,184,476.46,standard customer,NULL,476.46,1,one time buyer,United Kingdom
15860,10,loyal customer,363,761.99,standard customer,76.2,95.25,8,frequent buyer,United Kingdom
18252,4,short term customer,180,397.82,standard customer,99.45,198.91,2,occasional buyer,United Kingdom
16778,6,short term customer,170,232.74,standard customer,38.79,116.37,2,occasional buyer,United Kingdom
15836,0,short term customer,24,114.67,standard customer,NULL,114.67,1,one time buyer,United Kingdom
13704,3,short term customer,1231,1782.17,VIP customer,594.06,198.02,9,frequent buyer,United Kingdom
16715,0,short term customer,500,256.74,standard customer,NULL,256.74,1,one time buyer,United Kingdom
18004,0,short term customer,60,129.83,standard customer,NULL,129.83,1,one time buyer,United Kingdom
14340,0,short term customer,46,114.9,standard customer,NULL,114.9,1,one time buyer,United Kingdom
17870,12,loyal customer,1042,1558.97,VIP customer,129.91,129.91,12,frequent buyer,United Kingdom
17171,0,short term customer,125,189.39,standard customer,NULL,189.39,1,one time buyer,United Kingdom
16895,0,short term customer,57,141.88,standard customer,NULL,141.88,1,one time buyer,United Kingdom
14729,0,short term customer,136,216.7,standard customer,NULL,216.7,1,one time buyer,United Kingdom
14852,6,short term customer,1184,2057.44,VIP customer,342.91,342.91,6,frequent buyer,United Kingdom
12949,7,loyal customer,1386,2605.18,VIP customer,372.17,325.65,8,frequent buyer,United Kingdom
16378,2,short term customer,171,269.35,standard customer,134.68,89.78,3,occasional buyer,United Kingdom
14234,1,short term customer,634,481.08,standard customer,481.08,120.27,4,occasional buyer,United Kingdom
17560,7,loyal customer,643,820.95,standard customer,117.28,164.19,5,occasional buyer,United Kingdom
14581,0,short term customer,212,136.5,standard customer,NULL,136.5,1,one time buyer,United Kingdom
13207,4,short term customer,106,179.46,standard customer,44.87,89.73,2,occasional buyer,United Kingdom
15593,0,short term customer,60,199.8,standard customer,NULL,199.8,1,one time buyer,United Kingdom
13155,11,loyal customer,332,680.36,standard customer,61.85,170.09,4,occasional buyer,United Kingdom
12446,0,short term customer,216,595.04,standard customer,NULL,595.04,1,one time buyer,RSA
NULL,8,loyal customer,341,834.07,standard customer,104.26,278.02,3,occasional buyer,Israel
13229,0,short term customer,48,131.1,standard customer,NULL,131.1,1,one time buyer,United Kingdom
12781,8,loyal customer,551,769.86,standard customer,96.23,384.93,2,occasional buyer,Czech Republic
17939,0,short term customer,37,88.85,standard customer,NULL,88.85,1,one time buyer,United Kingdom
16684,12,loyal customer,38559,54425.08,high value customer,4535.42,1943.75,28,frequent buyer,United Kingdom
12968,0,short term customer,61,120.95,standard customer,NULL,120.95,1,one time buyer,United Kingdom
14923,0,short term customer,331,547.47,standard customer,NULL,547.47,1,one time buyer,United Kingdom
14171,0,short term customer,119,277.97,standard customer,NULL,277.97,1,one time buyer,United Kingdom
16491,0,short term customer,309,556.1,standard customer,NULL,556.1,1,one time buyer,United Kingdom
12603,0,short term customer,64,739.2,standard customer,NULL,739.2,1,one time buyer,Germany
16483,0,short term customer,27,105.9,standard customer,NULL,105.9,1,one time buyer,United Kingdom
17550,1,short term customer,58,209.11,standard customer,209.11,69.7,3,occasional buyer,United Kingdom
14760,0,short term customer,34,71.5,standard customer,NULL,71.5,1,one time buyer,United Kingdom
17481,3,short term customer,778,960.3,standard customer,320.1,240.08,4,occasional buyer,United Kingdom
16480,0,short term customer,313,615,standard customer,NULL,615,1,one time buyer,United Kingdom
17545,0,short term customer,231,435.71,standard customer,NULL,145.24,3,occasional buyer,United Kingdom
13978,1,short term customer,267,178.07,standard customer,178.07,89.04,2,occasional buyer,United Kingdom
17312,0,short term customer,359,606.35,standard customer,NULL,202.12,3,occasional buyer,United Kingdom
17511,12,loyal customer,40961,61826.5,high value customer,5152.21,1994.4,31,frequent buyer,United Kingdom
17179,6,short term customer,204,538.17,standard customer,89.7,179.39,3,occasional buyer,United Kingdom
14547,2,short term customer,1968,2863.89,VIP customer,1431.94,357.99,8,frequent buyer,United Kingdom
12490,11,loyal customer,2052,3784.59,VIP customer,344.05,378.46,10,frequent buyer,France
16405,0,short term customer,187,167.25,standard customer,NULL,83.63,2,occasional buyer,United Kingdom
15142,0,short term customer,265,362.78,standard customer,NULL,362.78,1,one time buyer,United Kingdom
12817,0,short term customer,53,166.04,standard customer,NULL,166.04,1,one time buyer,Austria
14962,0,short term customer,44,126.7,standard customer,NULL,126.7,1,one time buyer,United Kingdom
16444,7,loyal customer,351,581.54,standard customer,83.08,145.38,4,occasional buyer,United Kingdom
13339,0,short term customer,194,486.02,standard customer,NULL,486.02,1,one time buyer,United Kingdom
15756,6,short term customer,133,308.31,standard customer,51.39,77.08,4,occasional buyer,United Kingdom
15054,1,short term customer,118,186.42,standard customer,186.42,93.21,2,occasional buyer,United Kingdom
12523,10,loyal customer,731,1477.44,VIP customer,147.74,134.31,11,frequent buyer,France
13482,0,short term customer,104,164.84,standard customer,NULL,164.84,1,one time buyer,United Kingdom
13859,0,short term customer,80,142.68,standard customer,NULL,142.68,1,one time buyer,United Kingdom
12497,0,short term customer,469,561.6,standard customer,NULL,561.6,1,one time buyer,Germany
12506,0,short term customer,13,42.2,standard customer,NULL,42.2,1,one time buyer,France
14908,0,short term customer,120,267.6,standard customer,NULL,267.6,1,one time buyer,United Kingdom
16482,0,short term customer,271,181.53,standard customer,NULL,181.53,1,one time buyer,United Kingdom
12868,6,short term customer,607,1125.89,VIP customer,187.65,187.65,6,frequent buyer,United Kingdom
13538,9,loyal customer,79,580.95,standard customer,64.55,82.99,7,frequent buyer,United Kingdom
13470,1,short term customer,20,33,standard customer,33,16.5,2,occasional buyer,United Kingdom
15797,7,loyal customer,777,1962.6,VIP customer,280.37,490.65,4,occasional buyer,United Kingdom
16769,0,short term customer,60,265.04,standard customer,NULL,265.04,1,one time buyer,United Kingdom
18261,1,short term customer,104,233.94,standard customer,233.94,116.97,2,occasional buyer,United Kingdom
14383,5,short term customer,676,1092.42,VIP customer,218.48,364.14,3,occasional buyer,United Kingdom
12841,12,loyal customer,2358,3538.91,VIP customer,294.91,141.56,25,frequent buyer,United Kingdom
12556,3,short term customer,271,453.4,standard customer,151.13,226.7,2,occasional buyer,Spain
16850,0,short term customer,189,256.93,standard customer,NULL,256.93,1,one time buyer,United Kingdom
17746,0,short term customer,29,110.25,standard customer,NULL,110.25,1,one time buyer,United Kingdom
16609,7,loyal customer,1328,3113.41,VIP customer,444.77,444.77,7,frequent buyer,United Kingdom
15243,0,short term customer,129,208.38,standard customer,NULL,208.38,1,one time buyer,United Kingdom
16117,0,short term customer,123,207.46,standard customer,NULL,207.46,1,one time buyer,United Kingdom
15330,1,short term customer,1312,714.96,standard customer,714.96,357.48,2,occasional buyer,United Kingdom
14672,3,short term customer,383,629.4,standard customer,209.8,314.7,2,occasional buyer,United Kingdom
17573,2,short term customer,274,317.9,standard customer,158.95,105.97,3,occasional buyer,United Kingdom
12853,6,short term customer,502,1330.78,VIP customer,221.8,221.8,6,frequent buyer,United Kingdom
14747,0,short term customer,45,191.55,standard customer,NULL,191.55,1,one time buyer,United Kingdom
16834,0,short term customer,150,199.22,standard customer,NULL,199.22,1,one time buyer,United Kingdom
15783,0,short term customer,200,201.3,standard customer,NULL,201.3,1,one time buyer,United Kingdom
15758,0,short term customer,31,128.85,standard customer,NULL,128.85,1,one time buyer,United Kingdom
13499,8,loyal customer,939,929.85,standard customer,116.23,185.97,5,occasional buyer,United Kingdom
17980,6,short term customer,676,790.55,standard customer,131.76,263.52,3,occasional buyer,United Kingdom
13831,11,loyal customer,721,2139.01,VIP customer,194.46,356.5,6,frequent buyer,United Kingdom
12631,0,short term customer,116,414.42,standard customer,NULL,414.42,1,one time buyer,Finland
13524,5,short term customer,254,545.6,standard customer,109.12,109.12,5,occasional buyer,United Kingdom
17359,0,short term customer,159,127.08,standard customer,NULL,127.08,1,one time buyer,United Kingdom
14227,9,loyal customer,999,1878.17,VIP customer,208.69,187.82,10,frequent buyer,United Kingdom
15639,0,short term customer,78,163.17,standard customer,NULL,163.17,1,one time buyer,United Kingdom
17083,6,short term customer,508,907.54,standard customer,151.26,302.51,3,occasional buyer,United Kingdom
12906,2,short term customer,1473,2649.45,VIP customer,1324.73,529.89,5,occasional buyer,United Kingdom
16029,11,loyal customer,33488,67534.04,high value customer,6139.46,1071.97,63,frequent buyer,United Kingdom
12739,0,short term customer,304,633.08,standard customer,NULL,316.54,2,occasional buyer,United Arab Emirates
15422,0,short term customer,38,97.7,standard customer,NULL,48.85,2,occasional buyer,United Kingdom
16771,10,loyal customer,1151,1679.72,VIP customer,167.97,335.94,5,occasional buyer,United Kingdom
14048,0,short term customer,155,197.92,standard customer,NULL,197.92,1,one time buyer,United Kingdom
17160,7,loyal customer,1092,1251.85,VIP customer,178.84,208.64,6,frequent buyer,United Kingdom
15412,0,short term customer,104,178.73,standard customer,NULL,178.73,1,one time buyer,United Kingdom
13821,4,short term customer,77,228.73,standard customer,57.18,114.37,2,occasional buyer,United Kingdom
12403,0,short term customer,96,427.7,standard customer,NULL,427.7,1,one time buyer,Denmark
13271,0,short term customer,149,138.86,standard customer,NULL,138.86,1,one time buyer,United Kingdom
16207,0,short term customer,126,348.04,standard customer,NULL,348.04,1,one time buyer,United Kingdom
16036,6,short term customer,375,380.79,standard customer,63.46,190.39,2,occasional buyer,United Kingdom
15690,4,short term customer,360,197.52,standard customer,49.38,98.76,2,occasional buyer,United Kingdom
16094,6,short term customer,389,815.13,standard customer,135.85,203.78,4,occasional buyer,United Kingdom
15128,5,short term customer,957,1042.66,VIP customer,208.53,260.66,4,occasional buyer,United Kingdom
13666,8,loyal customer,39,74.05,standard customer,9.26,24.68,3,occasional buyer,United Kingdom
13225,12,loyal customer,2462,4990.02,VIP customer,415.84,712.86,7,frequent buyer,United Kingdom
13038,7,loyal customer,312,846.06,standard customer,120.87,282.02,3,occasional buyer,United Kingdom
15998,11,loyal customer,943,1620.77,VIP customer,147.34,324.15,5,occasional buyer,United Kingdom
15167,0,short term customer,49,130.3,standard customer,NULL,130.3,1,one time buyer,United Kingdom
17677,12,loyal customer,5556,9299.49,VIP customer,774.96,309.98,30,frequent buyer,United Kingdom
12620,6,short term customer,820,906.66,standard customer,151.11,302.22,3,occasional buyer,France
13803,0,short term customer,97,226.97,standard customer,NULL,226.97,1,one time buyer,United Kingdom
16134,11,loyal customer,245,395.55,standard customer,35.96,197.77,2,occasional buyer,United Kingdom
16968,4,short term customer,240,359.57,standard customer,89.89,179.78,2,occasional buyer,United Kingdom
17235,11,loyal customer,181,427.73,standard customer,38.88,213.87,2,occasional buyer,United Kingdom
14092,12,loyal customer,1437,3035.84,VIP customer,252.99,216.85,14,frequent buyer,United Kingdom
14644,8,loyal customer,196,638.58,standard customer,79.82,319.29,2,occasional buyer,United Kingdom
14030,11,loyal customer,706,1678.6,VIP customer,152.6,209.82,8,frequent buyer,United Kingdom
15504,0,short term customer,24,29.16,standard customer,NULL,29.16,1,one time buyer,United Kingdom
14882,0,short term customer,128,477.2,standard customer,NULL,238.6,2,occasional buyer,United Kingdom
16775,11,loyal customer,395,1535.91,VIP customer,139.63,139.63,11,frequent buyer,United Kingdom
17760,11,loyal customer,231,274.59,standard customer,24.96,137.29,2,occasional buyer,United Kingdom
14775,10,loyal customer,712,550.2,standard customer,55.02,183.4,3,occasional buyer,United Kingdom
17048,7,loyal customer,359,729.55,standard customer,104.22,243.18,3,occasional buyer,United Kingdom
12674,6,short term customer,843,1361.58,VIP customer,226.93,340.39,4,occasional buyer,France
16932,0,short term customer,59,104.96,standard customer,NULL,104.96,1,one time buyer,United Kingdom
13990,0,short term customer,147,197.45,standard customer,NULL,197.45,1,one time buyer,United Kingdom
NULL,10,loyal customer,2804,11730.09,high value customer,1173.01,1066.37,11,frequent buyer,Hong Kong
14285,5,short term customer,489,1778.13,VIP customer,355.63,444.53,4,occasional buyer,United Kingdom
15092,2,short term customer,101,312.31,standard customer,156.16,156.16,2,occasional buyer,United Kingdom
18231,3,short term customer,463,1320.19,VIP customer,440.06,264.04,5,occasional buyer,United Kingdom
15967,10,loyal customer,170,312.62,standard customer,31.26,156.31,2,occasional buyer,United Kingdom
13808,3,short term customer,552,1204.08,VIP customer,401.36,240.82,5,occasional buyer,United Kingdom
17379,0,short term customer,559,294.28,standard customer,NULL,294.28,1,one time buyer,United Kingdom
13995,7,loyal customer,405,778.19,standard customer,111.17,155.64,5,occasional buyer,United Kingdom
15450,0,short term customer,200,301.88,standard customer,NULL,301.88,1,one time buyer,United Kingdom
